,Round,Info Slide,Motion
0,ラウンド1,,"Assuming feasibility, THW forcibly delete all soldiers' memories of combat situations upon their discharge."
1,ラウンド2,"Pretty Cure(プリキュア) is a group of superheroes who, with the assistance of creatures known as fairies, use their magical powers(i.e. discharging a beam from their hands) and enhanced strength to fight against evil forces who bring misery to the Earth. They are also known as feminist icons. However, in these days Pretty Cure have been showing a variety of members, such as fairies, androids, and even boys. The essence of them lies in being dignified and brave in tackling difficulties, so they fight to protect everyone's smile.","TH, as a PrettyCure(プリキュア), W actively use their powers to instill democracy in dictatorial regimes."
2,ラウンド3,,THBT developing countries should severely restrict the foreigner's right to purchase real estate.
