,Round,Info Slide,Motion
0,Round 4,"Works of fiction (movies, shows, stories, etc) featuring the stories and plights of minorities and marginalised communities often have a happy ending, showing some degree of progress towards overcoming oppression.",THO the trend of happy endings in works of fiction about minority communities
1,Round 3,"""Warabel"" describes the phenomenon of balancing individual pursuits (e.g. spending time with family and socializing with friends) and work even at the expense of increased salaries and career opportunities.","This house, as a financially comfortable citizen in an East Asian society, Would pursue 'warabel'"
2,Round 2,,THBT museums ought not to display art that depicts symbols of white supremacy
3,Round 1,,THBT schools should actively promote the idea that humanity is inherently geared towards being good
