,Round,Info Slide,Motion
0,Round 1,,"This House would allow people raised in isolated communities (e.g. the Amish, Hasidic Jews) to sue their communities for harms caused by their lifestyle"
1,Round 2,,"TH, as the US Democrats, would give funding for the border wall in order to definitively end the government shutdown"
2,Round 3,"Drag queens are people, usually gay males, who dress in women's clothing and often act with exaggerated femininity and in feminine gender roles with a primarily entertaining purpose.",This House regrets mainstream media's popularization of Western drag culture
3,Round 4,,THBT liberal states should fund the hacking of infrastructure designed to limit freedom of speech in authoritarian states
4,Round 5,"Nihilism is the philosophical viewpoint which holds that life is without objective meaning, purpose, or intrinsic value.","This House regrets the increasing presence of nihilism in popular culture (eg. BoJack Horseman, Rick and Morty, Nihilist Memes etc.)"
5,Partial-double Semifinals,,"This House believes that Tech Giants (e.g. Google, Amazon, Facebook) should NOT be permitted to sue for patent infringement"
6,Semifinals,"Club 27 represents musicians, artists, and actors who died when they were 27 years old, most often as a consequence of alcohol, sex and drug abuse. Some of the most prominent examples include Kurt Cobain, Amy Winehouse, Jimmy Hendrix etc.","This House would rather be a part of the ""Club 27"" than live an average anonymous life"
7,Grand Final,,This House believes that the world was better 10 years ago #tenyearchallenge
8,Novice Final,"The concept of a sleeping God is one that assumed that God has gone to sleep after creating the world and is non interventionist in human action. 

The concept of an active God is one that uses divine intervention in the real world.",This House prefers a world where everybody believes in the concept of a sleeping God rather than an active God.
