,Round,Info Slide,Motion
0,Round 1,,"THS the use of conditional cash transfer programs to families in order to encourage pro-social behavior (e.g., sending one’s children to school, compliance with state vaccination campaigns, etc.). (Bolsa Família)"
1,Round 2,,"TH, as the feminist movement, would choose to glorify traditionally feminine traits (e.g. motherliness, politeness, gracefulness, etc.) instead of traditionally masculine ones (e.g. assertiveness, bluntness, aggressiveness, etc.). (Feminism)"
2,Round 3,"In the Islamic faith, a fatwa is a non-binding but authoritative legal opinion or learned interpretation issued by a qualified religious leader, pertaining to Islamic law and ethics. Followers are expected to adhere to these rulings. Wahhabism is an Islamic doctrine and religious movement that is often described as ultraconservative and puritan. It aims to restore what its believers consider to be the only correct and pure form of Islam. Saudi Arabia politically and financially supports Wahhabism around the world.",THBT Islamic authorities in South East Asia should issue a fatwa denouncing Wahhabism. (Religion IR)
3,Round 4,,"THR the rise of left-wing antiestablishment politicians (e.g., Bernie Sanders, Alexandria Ocasio-Cortez) within the Democratic Party. (Politics)"
4,Round 5,,TH opposes the romanticisation of art that is pursued for non-material gain (e.g. glorifying the ‘Starving Artist’). (Art)
5,Quarterfinals,,THP a world where people predominantly believe that life possesses no intrinsic meaning. (Imagine)
6,Semifinals,"Monetary financing, or the monetization of government deficits, is a monetary policy whereby a central bank purchases debt directly from that country's government in order to finance a government deficit. This has two effects: it (1) facilitates government spending, and (2) increases the supply of money in an economy. Monetizing government deficits differs from quantitative easing in the sense that the former involves purchasing bonds directly from the government, whereas the latter involves buying bonds and other financial assets on the secondary (i.e. open) market. The European Central Bank is different from many central banks because it performs the typical functions of a central bank across all countries which use the Euro.",THBT the European Central Bank should monetize the government deficits of Eurozone countries experiencing financial crises. (Monetary financing)
7,Grand Final,"Luck refers to success or failure apparently brought about by chance rather than one's own actions. For the purposes of this debate, assume that luck is a distinct quality that can be measured, stored externally, and transferred from one person to another.",THS the creation of an open marketplace for the buying and selling of luck between individuals. (Luck)
8,Novice Finals,"You are a small business owner in Italy whose sources of revenue have dried up due to the Covid-19 pandemic. The Italian government has struggled to provide economic relief, and you are on the verge of closing your shop and going to work for minimum wage for your wealthy uncle, with whom you have a very contentious relationship. One day, the Italian Mafia shows up at your door, and offers you economic support. You've heard stories about the things that the Mafia does to gain its money, but this may be your last shot.","TH, as the small business owner, would accept the help of the Mafia. (Mafia)"
