,Round,Info Slide,Motion
0,Round 1,,"THR the idolization of individuals who achieved success without going through traditional education (Bill Gates, Mark Zuckerberg, etc)"
1,Round 2,,THR the narrative that humans are innately bad
2,Round 3,,"In places with strong Islamophobia, THBT Muslim parents should homeschool their children"
