,Round,Info Slide,Motion
0,Round 1,,THBT leaders of minority religions in Europe should strongly discourage their congregations from publicly displaying their faith
1,Round 2,,"THW require companies to hire a significant percentage of employees without university degrees across all levels of their organisation,  for positions that do not require professional qualification (e.g. doctors, civil engineers)"
2,Round 3,,"This House supports granting megacities autonomous control over their economic and social policy (e.g. immigration, health, criminal justice) with national taxation policy remaining under the control of the federal government"
3,Round 4,"Unmanned Combat Vehicles are armed ground, aerial, or underwater vehicles (commonly referred to as drones) that are operated remotely, without a human on board. In the last few years they have been used extensively in military conflicts, including by the United States and the Houthis in Yemen, by Azerbaijan in Nagorno-Karabakh, and by Turkey in northern Syria.",THR the increased deployment of Unmanned Combat Vehicles in armed conflict
4,Round 5,,THW give citizens more votes based on their performance on a test of current affairs and general political knowledge
5,Quarterfinals,,THW replace the ICC with permanent regional courts to prosecute crimes against humanity
6,Semifinals,,THBT the EU should take full responsibility for the control of its external borders in dealing with the inflows of refugees
7,Grand Final,,"In situations where deliberate economic policies by another state have caused substantial economic harms, THBT international law should recognise that military retaliation can be justified"
8,ESL Finals,,"In a minimal state, a government's role is exclusively to protect property rights and people's physical security. Beyond this, such a state would not intervene in people's lives, or provide any public services. THP a minimal state"
