,Round,Info Slide,Motion
0,Round 1,,This House believes that environmental advocacy groups should prioritise convincing individuals to take responsibility for their personal actions above lobbying governments to change environmental policies (environmental advocacy)
1,Round 2,,The House believes that we should stop giving prizes for the arts (art)
2,Round 3,,This House would impose salary caps on professional sports teams (sport)
3,Round 4,,This House would remove statues and other memorials of historical figures whose values or actions are considered abhorrent by today’s standards (history)
4,Round 5,,This House believes that online teaching should continue to form a very substantial part of the school curriculum even after the global Covid-19 pandemic has subsided (covid)
5,Round 6,,This House would ban fast food restaurants from sponsoring sports events (fast food)
