,Round,Info Slide,Motion
0,Round 1,,THS the creation of children's literature which teaches that people are neither good nor evil. (Children's literature)
1,Round 2,,"This House Would ban ownership consolidation of newspapers by a single entity e.g. private equity firms, single media company. (Media)"
2,Round 3,,THBT the feminist movement should encourage women in the developing world to take up vigilante justice (Vigilante feminism)
3,Round 4,,"Assuming it could be done peacefully, THW replace all existing governments with a single global democratic government. (Global government)"
4,Semifinals,,"In areas with rapidly rising property prices, THW suspend all restrictions on property development that are not health and safety requirements (for example, environmental zoning regulations, building height restrictions, and regulations on the appearance of buildings) (Housing)"
5,Grand Final,,This House Would transfer management of all water resources to an international body. (water)
