,Round,Info Slide,Motion
0,Novice,,THBT Disney should strive towards a more realistic portrayal/depiction of love
1,Bronze,Hustle culture is the prominent narrative that one must work harder than everyone else to succeed.,THBT hustle culture has done more harm than good
2,Silver,Hustle culture is the prominent narrative that one must work harder than everyone else to succeed.,THBT hustle culture has done more harm than good
3,Gold,Hustle culture is the prominent narrative that one must work harder than everyone else to succeed.,THBT hustle culture has done more harm than good
4,Round 3,"Tiger Parenting is a term which refers to strict or demanding parents who push their children to be successful academically by attaining high levels of scholastic and academic achievement, sometimes to the detriment of the child's social, psychological and emotional well-being.","TH, as an immigrant parent, would raise their children using the Tiger Parenting model."
5,Round 2,,THBT progressive female political candidates in liberal democracies should not appeal to traditional female roles in their campaigns.
6,Round 1,"In sports, a salary cap is a rule that places a limit on the amount of money that a club can spend on players' salaries. It exists as a per-player limit or a total limit for the team's roster, or both.",THW implement a salary cap for all sports clubs.
