,Round,Info Slide,Motion
0,Round 1,,"THW require sports teams to be owned by their local communities, as opposed to corporations or individuals"
1,Round 2,,THW ban public debates between candidates in the run-up to elections
2,Round 3,,"THBT the environmentalist movement should lobby for legislative change (e.g. emissions trading schemes, banning fracking) rather than individual action (e.g. recycling, reducing car usage)"
3,Round 4,,THBT Western states should support local rebel groups (e.g. by funding them and giving them intel) as opposed to direct military intervention in other states
4,Semifinals,,"In times of public crises (e.g. epidemics, natural disasters), THBT the government should be temporarily replaced by technocrats"
5,Grand Final,"The Academy of Motion Picture Arts and Sciences is made up of around 9,000 voting members who are split into seventeen branches (e.g. actors, directors, cinematographers, sound editors). During the nominations stage of the Academy Awards (officially and popularly known as ""The Oscars"") process, each member is only entitled to vote for the award which corresponds to the branch (e.g. the director branch decides which films will be nominated for the Academy Award for Best Director), with the exception of Best Picture, which all members are entitled to vote on. In the final stage of the voting process, which determines which nominee wins the award, all members are entitled to vote in every category. There is no upper limit on membership numbers, however, sponsorship from two existing members is required.",THBT the nominees and winners of the Oscars should always be decided by public vote
