,Round,Info Slide,Motion
0,Round 1,A plea bargain is an arrangement between prosecutor and defendant whereby the defendant pleads guilty to a lesser charge in exchange for a more lenient sentence or an agreement to drop other charges.,THW ban plea bargains
1,Round 2,"Professional art critics are often individuals who have made careers out of evaluating art. Many are experts within their respective fields and share their thoughts through journalism, magazines, art blogs, etc. Some examples include prominent Youtubers who review music or film critics who review movies.",THR professional art critique
2,Round 3,,"TH regrets the prevalence of strong ties between universities and corporations (e.g. research, job hunting workshop, etc.)"
3,Round 4,,"In states within the Global South, THBT social movements should integrate religious messages and institutions into their advocacy, rather than distancing themselves from them."
4,ESL Final,,"THBT the West should not push back against the expansion of Chinese tech giants (E.g. Huawei, Alibaba)"
5,Grand Final,"A utopian fiction is a fiction set is a community or society possessing highly desirable or perfect qualities. A dystopian fiction is a fiction set in an imagined state or society in which there is great suffering or injustice, typically one that is totalitarian or post-apocalyptic.",THP that authors writing from marginalized communities create fiction through the lens of utopia over dystopia
