,Round,Info Slide,Motion
0,Round 1,,THP leaderless social movements
1,Round 2,,"THR the practice of religiously obliged alms-giving (e.g. Zakat, tithing, maaser, dana)"
2,Round 3,"Human cloning is the creation of a genetically identical copy (or clone) of a human. The term is generally used to refer to artificial human cloning, which is the reproduction of human cells and tissue. It does not refer to the natural conception and delivery of identical twins. If you are cloned, you have no memory of a past life.",This House would aggressively fund the research into human cloning
3,Round 4,"Taylor Swift has made herself a household name with her intricate songwriting. Notably, she rose to fame writing about her past lovers and the growth she achieved in her experiences. However, Taylor has never admitted the person her songs are about. Fans have theories and speculations, but it has never been confirmed.","TH, as Taylor Swift, would admit to the public the inspiration for her songs"
