,Round,Info Slide,Motion
0,Round 1,,"Given the state of the world, this house believes that it is immoral for humans to willfully reproduce."
1,Round 2,Universal Basic Income: is a periodic payment delivered to all people on an individual basis without mean tests or work requirements.,THW replace all social safety net policies with a comparable universal basic income.
2,Round 3,"Humanity has been approached by a higher life form, a hive mind, which offers humans a choice: humanity can choose to assimilate into the hive. As a result, humans will sacrifice their free will forever. In exchange, they will live in a world free of all known forms of human oppression.",THW assimilate.
3,Round 4,,TH Rejects all sports mascots which depict humans.
4,Round 5,"A ""troll"" is a person who intentionally upsets people and sows discord on the Internet by posting inflammatory messages with the intent of provoking readers into displaying emotional responses. 
A ""meme"" is a humorous image, video, piece of text, etc., that is copied (often with slight variations) and spread rapidly by Internet users.
""Online shaming"" is a form of Internet vigilantism in which targets are publicly humiliated for actions.","THW encourage feminists to troll, meme, and shame the patriarchy."
5,Round 6,,"TH, as foreign militaries, would condition material support to the United States Armed Forces on the removal of the Trump Administration."
