,Round,Info Slide,Motion
0,Round 1,,THR the narrative that your academic achievements will determine your success (academics)
1,Round 2,,THW offer e-sports as a cocurricular activity (esports)
2,Round 3,"Tiger Parenting is a type of strict parenting whereby parents are highly invested in ensuring their children's success. Specifically, tiger parents push their children to attain high levels of academic development or success in high-status extracurricular activities such as music or sports.",THS the rise of tiger-parenting. (Parenting)
3,Gold Final,,"THR the expectation for teachers to be ""second parents"" in developing countries. (Teachers)"
