,Round,Info Slide,Motion
0,Round 1,"Climate refugees or climate migrants are a subset of environmental migrants who were forced to flee due to sudden or gradual alterations in the natural environment related to at least one of three impacts of climate change: sea-level rise, extreme weather events, drought and water scarcity.",THBT major polluter nations should open their borders to climate refugees.
1,Round 2,"Non-retroactive principle in legal system means that law, rule, or decision do not have effect on a date before it was made. In other words, a law can only be applied to an act that occurs after the law was adopted.","THW abandon ""non-retroactive principle"" in prosecuting crimes related to environmental protection"
2,Round 3,"In recent years, logging companies have cleared swathes of land around indigenous communities' reservation in the Amazon, with loggers and poachers often also entering their perimeters. President Bolsonaro has claimed that the reservations are too expensive and has called for mining and industrial farming on tribal land. Recently, member of indigenous tribes have begun forming vigilante groups to fight back against the encroachments. They have experienced relative success in combating illegal incursion, but this has come at the cost of being regularly exposed to armed skirmishes and vigilantism being denounced by local authorities.",THBT indigineous communities in the Amazon rainforest should undertake acts of vigilantism against poachers and illegal loggers
3,Pre-Quarter Final,"Arable land is the land under temporary agricultural crops (multiple-cropped areas are counted only once), temporary meadows for mowing or pasture, land under market and kitchen gardens and land temporarily fallow (less than five years).",THBT governments of developing countries should prohibit the sale of arable land to foreign states and corporations
4,Quarterfinals,"The world of fashion, as we know it today, is the second largest polluter in the world, only behind the oil industry. Thrifting means to go shopping at a thrift store, garage sale, or flea market where you'll find gently used items at discounted prices. Thrifted items have been used by a previous owner, but are usually in good shape with enough life left to be useful to a new owner. There is a rising trend of gentrification of thrifting store in which middle-to-upper class of society started to buy clothes in thrifting store, which previously only been done massively by middle-to-upper class. The gentrification of thrifting store also results into the prominence of luxurious thrift carnival e.g. ThriftCon and many celebrities take part as the model and ambassador of such thrift stores.","As environmentalists, TH regrets the rise of gentrification of thrifting in fashion industry"
5,Semifinals,"An exclusive economic zone (EEZ), is an area of the sea in which a sovereign state has special rights regarding the exploration and use of marine resources, including energy production from water and wind. It stretches from the baseline out to 200 nautical miles (nmi) from the coast of the state in question.","Assuming feasibility, THW forcefully transfer the possession rights of EEZ (Exclusive Economic Zone) of countries that have been proven to fail in managing their biodiversity ecosystem into a neutral international body."
6,Grand Final,,"This House Would subsidize large scale geoengineering such as massive carbon sequestration (capture of atmospheric co2 out of the atmosphere and into storage) rather than environmental adaptation (eg: cleaner fossil fuels, ethanol, recycling technology, etc)"
