,Round,Info Slide,Motion
0,Round 4,,THP a world where people believe that love is conditional as opposed to unconditional
1,Round 3,"Lethal autonomous weapon systems (LAWs) are a special class of weapon systems that use sensor suites and computer algorithms to independently identify a target and employ an onboard weapon system to engage and destroy the target without manual human control of the system. LAWs may operate in the air, on land, on water, under water, or in space.",THS the creation and use of LAWs
2,Round 2,,"TH prefers environmental movements heavily prioritizing a local agenda over a global one (e.g., focusing on local pollution rather than climate change)"
3,Round 1,"Olivia Isabel Rodrigo (born February 20, 2003) is an American singer-songwriter and actress. She is known for her roles as Paige Olvera on the Disney Channel series Bizaardvark and Nini Salazar-Roberts on the Disney+ mockumentary series High School Musical: The Musical: The Series. She signed with Interscope and Geffen Records in 2020, and released her debut single, ""Drivers License"" in 2021, which quickly topped various charts worldwide and gave Rodrigo her breakthrough. It was followed by successful singles ""Deja Vu"" and ""Good 4 U"", leading up to the release of her debut studio album, Sour, on May 21, 2021, to critical acclaim.
On July 13, 2021, Rodrigo was involved in a White House effort to promote COVID-19 vaccinations among young people in the US. She met with President Joe Biden, Vice President Kamala Harris and Chief Medical Advisor Anthony Fauci, to discuss her efforts. Rodrigo recorded videos about the importance of young people getting vaccinated, including answering questions the youth have regarding the vaccination. The videos were featured on Rodrigo’s social media channels, which combined have more than 28 million followers, as well as official White House accounts.","THO politicians using current pop culture icons and trends (e.g Joe Biden using Olivia Rodrigo to promote youth vaccinations, Hillary Clinton co-opting memes during her campaign) as a tactic to gain support"
