,Round,Info Slide,Motion
0,Round 1,,THR politicians' increased usage of social media for communication (Social Media)
1,Round 2,,THP secular governments that exclude all religion from public spaces to those that allow all religions in public (Religion)
2,Round 3,,"THW, as Saudi Arabia, normalise diplomatic relations with Israel (International Relations)"
3,Round 4,,THBT all military strategies are justified if they save more lives than they cost (Military)
4,Round 5,"A minimum spend policy requires households to spend a designated percentage of their income and/or wealth in a given period of time. This policy applies progressively, and would replace tax either partially or entirely.","In times of a huge economic recession, THW implement a minimum spend policy (Economics)"
5,Grand Final,,THP a world in which people did not attempt to leave behind a legacy (Philosophy)
