,Round,Info Slide,Motion
0,Round 1,,"That, assuming it were practicable, sports teams or people that develop novel strategies or techniques should be able to “copyright” them for two seasons after they are first used successfully."
1,Round 2,,That we prefer broad tax cuts in financial stimulus packages to targeted government spending.
2,Round 3,"The right to silence is the right of a person in a criminal trial or investigation to not answer questions, and for guilt not to be inferred from a refusal to answer questions.",That evidence that is reliable but illegally obtained by the police should be excluded as evidence in all criminal trials.
3,Round 4,,"That, as the West, we would lift economic sanctions on Iran during its COVID-19 crisis."
4,Semifinals,,That sanctions should be placed on countries that provide tax-havens to multinational companies.
