,Round,Info Slide,Motion
0,Round 1,,THP a tech industry characterized by multiple smaller firms rather than one dominated by a few large players (e.g. Google Amazon Facebook in status quo)
1,Round 2,"Surrogacy is an arrangement, often supported by a legal agreement, whereby a person agrees to bear a child in their womb for the duration of the pregnancy, for another person or persons, who will become the child's parent(s) after birth, in exchange for monetary compensation.",THR the rise of the commercialisation of surrogacy in developing countries
