,Round,Info Slide,Motion
0,Round 1,"Managed relocation is defined as the movement of species, populations, or genotypes to places outside the areas of their historical distributions. It is done to maintain biological diversity by saving the relocated organism or to protect the functioning of the ecosystem, in response to the effects of climate change.",THS the managed relocation of biodiversity in response to climate change
1,Round 2,,"Post the 2020 elections, and regardless of its outcomes, THBT the progressive faction of the Democrat Party should split to form a new major party"
